Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12036,1,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3717,166033,Red,Ian,Machado Garry,The Future,1997-11-17,27,Orthodox,170.0,75.0,74.5,http://www.ufc.com/athlete/Ian-Machado-Garry,Welterweight,15,1,0,0,Dublin,Leinster,Ireland,Belo Horizonte,Minas Gerais,Brazil,,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12036,1,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,4075,171,Blue,Carlos,Prates,The Nightmare,1993-08-17,31,Switch,170.0,73.0,78.0,http://www.ufc.com/athlete/Carlos-Prates,Welterweight,21,6,0,0,Taubate,Sao Paulo,Brazil,Taubate,Sao Paulo,Brazil,https://ufc.com/images/2025-04/PRATES_CARLOS_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11994,2,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,1843,102004,Red,Anthony,Smith,Lionheart,1988-07-26,36,Orthodox,205.0,76.0,76.0,http://www.ufc.com/athlete/Anthony-Smith,Light Heavyweight,38,21,0,0,Corpus Christi,Texas,USA,Omaha,Nebraska,USA,https://ufc.com/images/2025-04/SMITH_ANTHONY_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11994,2,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3743,165984,Blue,Zhang,Mingyang,Mountain Tiger,1998-08-16,26,Orthodox,205.0,74.0,75.5,http://www.ufc.com/athlete/Zhang-Mingyang,Light Heavyweight,18,6,0,0,Fuyang,Anhui,China,,Anhui,China,https://ufc.com/images/2025-04/MINGYANG_ZHANG_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11992,3,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3094,146626,Red,Giga,Chikadze,Ninja,1988-08-25,36,Orthodox,145.0,72.0,74.0,http://www.ufc.com/athlete/Giga-Chikadze,Featherweight,15,4,0,0,Tbilisi,,Georgia,Tbilisi,,Georgia,https://ufc.com/images/2025-04/CHIKADZE_GIGA_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11992,3,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3773,159388,Blue,David,Onama,,1994-06-07,30,Orthodox,145.0,71.0,74.0,http://www.ufc.com/athlete/David-Onama,Featherweight,13,2,0,0,Kyangwali,,Uganda,Kyangwali,,Uganda,https://ufc.com/images/2025-04/ONAMA_DAVID_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11993,4,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3267,150718,Red,Michel,Pereira,Demolidor,1993-10-06,31,Orthodox,185.0,73.0,73.0,http://www.ufc.com/athlete/Michel-Pereira,Middleweight,31,12,0,2,Maraba,Para,Brazil,Las Vegas,Nevada,USA,https://ufc.com/images/2025-04/PEREIRA_MICHEL_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11993,4,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3741,157149,Blue,Abus,Magomedov,,1990-09-02,34,Orthodox,185.0,74.0,78.0,http://www.ufc.com/athlete/Abus-Magomedov,Middleweight,27,6,1,0,Argun,Chechnya,Russia,Dusseldorf,North Rhine-Westphalia,Germany,https://ufc.com/images/2025-04/MAGOMEDOV_ABUS_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12006,5,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,2739,122471,Red,Randy,Brown,Rudeboy,1990-07-08,34,Orthodox,170.0,75.0,78.0,http://www.ufc.com/athlete/Randy-Brown,Welterweight,19,6,0,0,Spanish Town,,Jamaica,Spanish Town,,Jamaica,https://ufc.com/images/2025-04/BROWN_RANDY_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12006,5,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,2509,143830,Blue,Nicolas,Dalby,Danish Dynamite,1984-11-16,40,Orthodox,170.0,71.0,74.5,http://www.ufc.com/athlete/Nicolas-Dalby,Welterweight,23,5,1,2,Sonderborg,,Denmark,Copenhagen,,Denmark,https://ufc.com/images/2025-04/DALBY_NICOLAS_04-26.png,False,False,False,,,,,,,,,False
