id,Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
113,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12017,1,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3055,130597,Red,Cory,Sandhagen,,1992-04-20,33,Switch,135.0,71.0,70.0,http://www.ufc.com/athlete/Cory-Sandhagen,Bantamweight,17,5,0,0,Aurora,Colorado,USA,Aurora,Colorado,USA,https://ufc.com/images/2025-05/SANDHAGEN_CORY_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
114,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12017,1,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,2878,152214,Blue,Deiveson,Figueiredo,Deus da Guerra,1987-12-18,37,Orthodox,135.0,65.0,68.0,http://www.ufc.com/athlete/Deiveson-Figueiredo,Bantamweight,24,4,1,0,Soure,Para,Brazil,Soure,Para,Brazil,https://ufc.com/images/2025-05/FIGUEIREDO_DEIVESON_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
115,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12018,2,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,4302,182,Red,Reinier,de Ridder,RdR,1990-09-07,34,Southpaw,185.0,76.0,78.0,http://www.ufc.com/athlete/Reinier-de-Ridder,Middleweight,19,2,0,0,Tilburg,Noord-Brabant,Netherlands,Breda,Noord-Brabant,Netherlands,https://ufc.com/images/2025-05/DE_RIDDER_REINIER_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
116,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12018,2,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3904,169248,Blue,Bo,Nickal,,1996-01-14,29,Southpaw,185.0,73.0,76.0,http://www.ufc.com/athlete/Bo-Nickal,Middleweight,7,0,0,0,Rifle,Colorado,USA,State College,Pennsylvania,USA,https://ufc.com/images/2025-05/NICKAL_BO_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
117,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12019,3,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,2107,133661,Red,Santiago,Ponzinibbio,Argentine Dagger,1986-09-26,38,Orthodox,170.0,72.0,73.0,http://www.ufc.com/athlete/Santiago-Ponzinibbio,Welterweight,31,8,0,0,La Plata,Buenos Aires,Argentina,Coconut Creek,Florida,USA,https://ufc.com/images/2025-05/PONZINIBBIO_SANTIAGO_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
118,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12019,3,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3359,135387,Blue,Daniel,Rodriguez,D-Rod,1986-12-31,38,Southpaw,170.0,73.0,74.0,http://www.ufc.com/athlete/Daniel-Rodriguez,Welterweight,18,5,0,0,Los Angeles,California,USA,Alhambra,California,USA,https://ufc.com/images/2025-05/RODRIGUEZ_DANIEL_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
119,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12025,4,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3082,141398,Red,Montel,Jackson,Quik,1992-04-24,33,Southpaw,135.0,70.0,75.5,http://www.ufc.com/athlete/Montel-Jackson,Bantamweight,14,2,0,0,Milwaukee,Wisconsin,USA,Milwaukee,Wisconsin,USA,https://ufc.com/images/2025-05/JACKSON_MONTEL_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
120,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12025,4,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3935,170360,Blue,Daniel,Marcos,Soncora,1993-03-07,32,Orthodox,135.0,67.0,69.0,http://www.ufc.com/athlete/Daniel-Marcos,Bantamweight,17,0,0,1,Lima,,Peru,Lima,,Peru,https://ufc.com/images/2025-05/MARCOS_DANIEL_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
121,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12023,5,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,4048,161,Red,Cameron,Smotherman,The Baby-Faced Killa,1997-09-17,27,Orthodox,135.0,69.0,69.0,http://www.ufc.com/athlete/Cameron-Smotherman,Bantamweight,12,4,0,0,Houston,Texas,USA,Houston,Texas,USA,https://ufc.com/images/2025-05/SMOTHERMAN_CAMERON_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
122,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12023,5,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,4092,156,Blue,Serhiy,Sidey,,1996-07-04,28,Switch,135.0,71.0,72.0,http://www.ufc.com/athlete/Serhiy-Sidey,Bantamweight,11,2,0,0,Chernivtsi,Chernivtsi,Ukraine,Burlington,Ontario,Canada,https://ufc.com/images/2025-05/SIDEY_SERHIY_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
123,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12043,6,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,545,102646,Red,Jeremy,Stephens,Lil' Heathen,1986-05-25,38,Orthodox,155.0,69.0,71.0,http://www.ufc.com/athlete/Jeremy-Stephens,Lightweight,28,19,0,1,Des Moines,Iowa,USA,Des Moines,Iowa,USA,https://ufc.com/images/2025-05/STEPHENS_JEREMY_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
124,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12043,6,Upcoming,Main,2025-05-04T02:00Z,ESPN 2,3607,164156,Blue,Mason,Jones,The Dragon,1995-04-26,30,Orthodox,155.0,70.0,74.0,http://www.ufc.com/athlete/Mason-Jones,Lightweight,15,2,0,1,Abergavenny,Wales,United Kingdom,Blaenavon,Wales,United Kingdom,https://ufc.com/images/2025-05/JONES_MASON_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
125,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12020,7,Upcoming,Prelims1,2025-05-03T23:00Z,ESPN 2,3053,150836,Red,Yana,Santos,,1989-11-11,35,Orthodox,135.0,66.0,68.5,http://www.ufc.com/athlete/Yana-Santos,Women's Bantamweight,15,8,0,1,Murmansk,Murmansk,Russia,Saint Petersburg,Saint Petersburg,Russia,https://ufc.com/images/2025-05/SANTOS_YANA_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
126,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12020,7,Upcoming,Prelims1,2025-05-03T23:00Z,ESPN 2,1317,102813,Blue,Miesha,Tate,Cupcake,1986-08-18,38,Orthodox,135.0,66.0,65.0,http://www.ufc.com/athlete/Miesha-Tate,Women's Bantamweight,20,9,0,0,Tacoma,Washington,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2025-05/TATE_MIESHA_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
127,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12027,8,Upcoming,Prelims1,2025-05-03T23:00Z,ESPN 2,4279,166,Red,Ryan,Loder,Man of Steel,1991-06-05,33,Southpaw,185.0,74.0,76.0,http://www.ufc.com/athlete/Ryan-Loder,Middleweight,8,1,0,0,Granite Bay,California,USA,Sacramento,California,USA,https://ufc.com/images/2025-05/LODER_RYAN_05-03.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
128,UFC Fight Night: Sandhagen vs. Figueiredo,1254,2025-05-03T23:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,Wells Fargo Arena,342,Des Moines,Iowa,USA,USA,12027,8,Upcoming,Prelims1,2025-05-03T23:00Z,ESPN 2,4315,172,Blue,Azamat,Bekoev,Iron,1995-12-30,29,Orthodox,185.0,72.0,72.0,http://www.ufc.com/athlete/Azamat-Bekoev,Middleweight,19,3,0,0,Vladikavkaz,North Ossetia-Alania,Russia,Vladikavkaz,North Ossetia-Alania,Russia,https://ufc.com/images/2025-05/BEKOEV_AZAMAT.png,FALSE,FALSE,FALSE,,,,,,,,,FALSE
