id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak
231,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12098,1,Upcoming,Main,2025-06-15T02:00Z,ESPN,2587,131110,Red,Kamaru,Usman,The Nigerian Nightmare,5/11/87,38,Switch,170,72,76,http://www.ufc.com/athlete/Kamaru-Usman,Welterweight,20,4,0,0,Auchi,Edo,Nigeria,Auchi,Edo,Nigeria,https://ufc.com/images/2025-06/USMAN_KAMARU_06-14.png,5,225,-3
232,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12098,1,Upcoming,Main,2025-06-15T02:00Z,ESPN,3536,140505,Blue,Joaquin,Buckley,New Mansa,4/27/94,31,Southpaw,170,70,76,http://www.ufc.com/athlete/Joaquin-Buckley,Welterweight,21,6,0,0,St. Louis,Missouri,USA,St. Louis,Missouri,USA,https://ufc.com/images/2025-06/BUCKLEY_JOAQUIN_06-14.png,7,-278,6
233,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12099,2,Upcoming,Main,2025-06-15T02:00Z,ESPN,2344,131303,Red,Rose,Namajunas,Thug,6/29/92,32,Orthodox,125,65,65,http://www.ufc.com/athlete/Rose-Namajunas,Women's Flyweight,14,7,0,0,Milwaukee,Wisconsin,USA,Denver,Colorado,USA,https://ufc.com/images/2025-06/NAMAJUNAS_ROSE_06-14.png,7,-258,-1
234,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12099,2,Upcoming,Main,2025-06-15T02:00Z,ESPN,3469,150834,Blue,Miranda,Maverick,Fear The,7/1/97,27,Southpaw,125,63,65.5,http://www.ufc.com/athlete/Miranda-Maverick,Women's Flyweight,17,5,0,0,Jefferson City,Missouri,USA,Buffalo,Missouri,USA,https://ufc.com/images/2025-06/MAVERICK_MIRANDA_06-14.png,11,210,4
235,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12103,3,Upcoming,Main,2025-06-15T02:00Z,ESPN,3121,150232,Red,Edmen,Shahbazyan,The Golden Boy,11/20/97,27,Orthodox,185,74,75,http://www.ufc.com/athlete/Edmen-Shahbazyan,Middleweight,14,5,0,0,Los Angeles,California,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2025-06/SHAHBAZYAN_EDMEN_06-14.png,,-185,1
236,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12103,3,Upcoming,Main,2025-06-15T02:00Z,ESPN,3749,146738,Blue,Andre,Petroski,,6/12/91,34,Switch,185,72,73,http://www.ufc.com/athlete/Andre-Petroski,Middleweight,13,4,0,0,Chester,Pennsylvania,USA,Philadelphia,Pennsylvania,USA,https://ufc.com/images/2025-06/PETROSKI_ANDRE_06-14.png,,154,3
237,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12155,4,Upcoming,Main,2025-06-15T02:00Z,ESPN,2369,109342,Red,Cody,Garbrandt,No Love,7/7/91,33,Orthodox,135,68,65.5,http://www.ufc.com/athlete/Cody-Garbrandt,Bantamweight,14,6,0,0,Uhrichsville,Ohio,USA,Uhrichsville,Ohio,USA,https://ufc.com/images/2025-06/GARBRANDT_CODY_06-14.png,,154,-1
238,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12155,4,Upcoming,Main,2025-06-15T02:00Z,ESPN,3018,136965,Blue,Raoni,Barcelos,,5/1/87,38,Orthodox,135,67,67,http://www.ufc.com/athlete/Raoni-Barcelos,Bantamweight,19,5,0,0,Rio de Janeiro,Rio de Janeiro,Brazil,Rio de Janeiro,Rio de Janeiro,Brazil,https://ufc.com/images/2025-06/BARCELOS_RAONI_06-14.png,,-185,2
239,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12102,5,Upcoming,Main,2025-06-15T02:00Z,ESPN,4201,166,Red,Mansur,Abdul-Malik,,10/7/97,27,Orthodox,185,74,80,http://www.ufc.com/athlete/Mansur-Abdul-Malik,Middleweight,8,0,0,0,Pittsburgh,Pennsylvania,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2025-06/ABDUL-MALIK_MANSUR_06-14.png,,-800,9
240,UFC Fight Night: Usman vs. Buckley,1259,2025-06-14T23:00Z,GMT-04:00,Upcoming,1,Ultimate Fighting Championship,State Farm Arena,130,Atlanta,Georgia,USA,USA,12102,5,Upcoming,Main,2025-06-15T02:00Z,ESPN,3523,154472,Blue,Cody,Brundage,,5/16/94,31,Orthodox,185,72,72,http://www.ufc.com/athlete/Cody-Brundage,Middleweight,11,6,0,1,Chaplin,South Carolina,USA,Englewood,Colorado,USA,https://ufc.com/images/2025-06/BRUNDAGE_CODY_06-14.png,,550,1
