Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,id,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,379,12296,1,Upcoming,Main,2025-08-03T01:00Z,ESPN,3781,167638,Red,Tatsuro,Taira,,1/27/00,25,Orthodox,125,67,70,http://www.ufc.com/athlete/Tatsuro-Taira,Flyweight,16,1,0,0,,Okinawa,Japan,,Okinawa,Japan,https://ufc.com/images/2025-01/5/TAIRA_TATSURO_10-12.png,6,-370,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,380,12296,1,Upcoming,Main,2025-08-03T01:00Z,ESPN,3818,169066,Blue,HyunSung,Park,Peace of Mind,11/4/95,29,Orthodox,125,67,66,http://www.ufc.com/athlete/HyunSung-Park,Flyweight,10,0,0,0,,Gyeonggi-do,South Korea,,Gyeonggi-do,South Korea,https://ufc.com/images/2025-05/PARK_HYUNSUNG_05-17.png,,280,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,381,12261,2,Upcoming,Main,2025-08-03T01:00Z,ESPN,3856,170472,Red,Mateusz,Rebecki,,11/3/92,32,Southpaw,155,67,66,http://www.ufc.com/athlete/Mateusz-Rebecki,Lightweight,20,2,0,0,Gryfice,,Poland,Szczecin,,Poland,https://ufc.com/images/2024-10/2/REBECKI_MATEUSZ_10-26.png,,-220,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,382,12261,2,Upcoming,Main,2025-08-03T01:00Z,ESPN,3685,166046,Blue,Chris,Duncan,The Problem,5/10/93,32,Orthodox,155,70,71.5,http://www.ufc.com/athlete/Chris-Duncan,Lightweight,13,2,0,0,Glasgow,Scotland,United Kingdom,Tullibody,Scotland,United Kingdom,https://ufc.com/images/2025-03/DUNCAN_CHRIS_03-22.png,,180,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,383,12259,3,Upcoming,Main,2025-08-03T01:00Z,ESPN,3969,172455,Red,Elves,Brener,,9/27/97,27,Orthodox,155,70,72.5,http://www.ufc.com/athlete/Elves-Brener,Lightweight,16,5,0,0,Maues,Amazonas,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2024-08/BRENNER_ELVES_08-03.png,,205,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,384,12259,3,Upcoming,Main,2025-08-03T01:00Z,ESPN,3845,169341,Blue,Esteban,Ribovics,El Gringo,4/27/96,29,Orthodox,155,70,69,http://www.ufc.com/athlete/Esteban-Ribovics,Lightweight,14,2,0,0,Tartagal,Salta,Argentina,Cordoba,Cordoba,Argentina,https://ufc.com/images/2025-02/RIBOVICS_ESTEBAN_03-01.png,,-240,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,385,12171,4,Upcoming,Main,2025-08-03T01:00Z,ESPN,3342,161,Red,Karol,Rosa,,12/30/94,30,Orthodox,135,65,67.5,http://www.ufc.com/athlete/Karol-Rosa,Women's Bantamweight,18,7,0,0,Vila Velha,Espirito Santo,Brazil,Niteroi,Rio de Janeiro,Brazil,https://ufc.com/images/2025-01/7/ROSA_KAROL_01-18.png,10,-185,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,386,12171,4,Upcoming,Main,2025-08-03T01:00Z,ESPN,4088,175,Blue,Nora,Cornolle,,12/6/89,35,Orthodox,135,67,67,http://www.ufc.com/athlete/Nora-Cornolle,Women's Bantamweight,9,2,0,0,Epinay-sur-Seine,Ile-de-France,France,Epinay-sur-Seine,Ile-de-France,France,https://ufc.com/images/2025-04/CORNOLLE_NORA_04-12.png,12,155,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,387,12258,5,Upcoming,Main,2025-08-03T01:00Z,ESPN,2047,118309,Red,Neil,Magny,The Haitian Sensation,8/3/87,37,Orthodox,170,75,80,http://www.ufc.com/athlete/Neil-Magny,Welterweight,29,14,0,0,Brooklyn,New York,USA,Denver,Colorado,USA,https://ufc.com/images/2024-11/MAGNY_NEIL_11-09.png,,160,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,388,12258,5,Upcoming,Main,2025-08-03T01:00Z,ESPN,2508,142823,Blue,Elizeu,Zaleski dos Santos,Capoeira,12/11/86,38,Orthodox,170,71,73,http://www.ufc.com/athlete/Elizeu-dos-Santos,Welterweight,25,9,1,0,Francisco Beltrao,Parana,Brazil,Francisco Beltrao,Parana,Brazil,https://ufc.com/images/2025-03/DOS_SANTOS_ELIZEU_03-15.png,,-190,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,389,12260,6,Upcoming,Main,2025-08-03T01:00Z,ESPN,4122,155,Red,Danny,Silva,El Puma,1/30/97,28,Switch,145,71,70,http://www.ufc.com/athlete/Danny-Silva,Featherweight,10,1,0,0,Santa Ana,California,USA,Santa Ana,California,USA,https://ufc.com/images/2025-02/SILVA_DANNY_03-01.png,,350,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,390,12260,6,Upcoming,Main,2025-08-03T01:00Z,ESPN,4066,174,Blue,Kevin,Vallejos,El Chino,12/8/01,23,Switch,145,67,68,http://www.ufc.com/athlete/Kevin-Vallejos,Featherweight,15,1,0,0,Mar del Plata,Buenos Aires,Argentina,Mar del Plata,Buenos Aires,Argentina,https://ufc.com/images/2025-03/VALLEJOS_KEVIN_03-15.png,,-500,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,391,12208,7,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,3809,169057,Red,Rinya,Nakamura,Hybred,3/23/95,30,Southpaw,135,67,68.5,http://www.ufc.com/athlete/Rinya-Nakamura,Bantamweight,9,1,0,0,Saitama,Saitama,Japan,Tokyo,Tokyo,Japan,https://ufc.com/images/2023-08/NAKAMURA_RINYA_08_26.png,,-450,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,392,12208,7,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,4283,178,Blue,Nathan,Fletcher,,1/3/98,27,Orthodox,135,67,70,http://www.ufc.com/athlete/Nathan-Fletcher,Bantamweight,9,2,0,0,Southport,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2025-03/FLETCHER_NATHAN_03-22.png,,325,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,393,12172,8,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,3364,153670,Red,Rodolfo,Vieira,,9/25/89,35,Orthodox,185,72,73,http://www.ufc.com/athlete/Rodolfo-Vieira,Middleweight,10,3,0,0,Rio de Janeiro,Rio de Janeiro,Brazil,Rio de Janeiro,Rio de Janeiro,Brazil,https://ufc.com/images/2025-02/VIEIRA_RODOLFO_02-15.png,,-220,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,394,12172,8,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,3759,140538,Blue,Tresean,Gore,Mr. Vicious,6/21/94,31,Switch,185,72,75,http://www.ufc.com/athlete/Tresean-Gore,Middleweight,6,3,0,0,Myrtle Beach,South Carolina,USA,Lawrenceville,Georgia,USA,https://ufc.com/images/2025-04/GORE_TRESEAN_04-12.png,,180,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,395,12267,9,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,4306,157,Red,Nick,Klein,Blue Collar,9/8/95,29,Orthodox,185,73,77,http://www.ufc.com/athlete/Nick-Klein,Middleweight,6,2,0,0,Plymouth,Wisconsin,USA,Milwaukee,Wisconsin,USA,https://ufc.com/images/2025-02/KLEIN_NICK_02-22.png,,125,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,396,12267,9,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,4195,180,Blue,Andrey,Pulyaev,,9/10/97,27,Southpaw,185,76,78.5,http://www.ufc.com/athlete/Andrey-Pulyaev,Middleweight,9,3,0,0,Chita,Zabaykalsky Krai,Russia,Novosibirsk,Novosibirsk,Russia,https://ufc.com/images/2025-03/PULYAEV_ANDREY_03-22.png,,-150,,
UFC Fight Night: Taira vs. Park,1267,2025-08-02T22:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,UFC Apex,316,Las Vegas,Nevada,USA,USA,397,12299,10,Upcoming,Prelims1,2025-08-02T22:00Z,ESPN,4216,162,Red,Austin,Bashi,,9/29/01,23,Orthodox,145,66,70,http://www.ufc.com/athlete/Austin-Bashi,Featherweight,13,1,0,0,West Bloomfield,Michigan,USA,West Bloomfield,Michigan,USA,https://ufc.com/images/2025-01/11/BASHI_AUSTIN_01-11.png,,-700,,
