id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style
451,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12214,1,Upcoming,Main,2025-08-23T10:00Z,ESPN+,3173,153626,Red,Johnny,Walker,,3/30/92,33,Orthodox,205,78,82,http://www.ufc.com/athlete/Johnny-Walker,Light Heavyweight,21,9,0,1,Belford Roxo,Rio de Janeiro,Brazil,Rio das Ostras,Rio de Janeiro,Brazil,https://ufc.com/images/2025-08/WALKER_JOHNNY_08-23.png,13,270,-2,BJJ/Capoeira
452,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12214,1,Upcoming,Main,2025-08-23T10:00Z,ESPN+,3743,165984,Blue,Zhang,Mingyang,Mountain Tiger,8/16/98,27,Orthodox,205,74,75.5,http://www.ufc.com/athlete/Zhang-Mingyang,Light Heavyweight,19,6,0,0,Fuyang,Anhui,China,,Anhui,China,https://ufc.com/images/2025-08/MINGYANG_ZHANG_08-23.png,14,-340,12,Striking
453,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12215,2,Upcoming,Main,2025-08-23T10:00Z,ESPN+,2238,134436,Red,Brian,Ortega,T-City,2/21/91,34,Switch,145,68,69,http://www.ufc.com/athlete/Brian-Ortega,Featherweight,16,4,0,1,Los Angeles,California,USA,Los Angeles,California,USA,https://ufc.com/images/2025-08/ORTEGA_BRIAN_08-23.png,5,225,-1,BJJ/Capoeira
454,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12215,2,Upcoming,Main,2025-08-23T10:00Z,ESPN+,2177,115328,Blue,Aljamain,Sterling,Funk Master,7/31/89,36,Orthodox,145,67,71,http://www.ufc.com/athlete/Aljamain-Sterling,Featherweight,24,5,0,0,Long Island,New York,USA,Uniondale,New York,USA,https://ufc.com/images/2025-08/STERLING_ALJAMAIN_08-23.png,7,-278,-1,Grappling
455,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12229,3,Upcoming,Main,2025-08-23T10:00Z,ESPN+,3212,158452,Red,Sergei,Pavlovich,,5/13/92,33,Southpaw,257,75,84,http://www.ufc.com/athlete/Sergei-Pavlovich,Heavyweight,19,3,0,0,Orlovskiy,Rostov,Russia,Moscow,Moscow,Russia,https://ufc.com/images/2025-08/PAVLOVICH_SERGEI_08-23.png,3,-250,1,Freestyle
456,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12229,3,Upcoming,Main,2025-08-23T10:00Z,ESPN+,3874,142446,Blue,Waldo,Cortes-Acosta,Salsa Boy,10/3/91,33,Orthodox,260,76,78,http://www.ufc.com/athlete/Waldo-Cortes-Acosta,Heavyweight,14,1,0,0,Fundacion,Barahona,Dominican Republic,Fundacion,Barahona,Dominican Republic,https://ufc.com/images/2025-08/CORTES-ACOSTA_WALDO_08-23.png,6,205,5,Boxing
457,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12233,4,Upcoming,Main,2025-08-23T10:00Z,ESPN+,3216,158469,Red,,Sumudaerji,The Tibetan Eagle,1/20/96,29,Southpaw,125,68,72,http://www.ufc.com/athlete/Su-Mudaerji,Flyweight,17,7,0,0,,Sichuan,China,,Sichuan,China,https://ufc.com/images/2025-08/SUMUDAERJI_08-23.png,,-166,1,Kickboxing/Sanda
458,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12233,4,Upcoming,Main,2025-08-23T10:00Z,ESPN+,4027,174,Blue,Kevin,Borjas,El Gallo Negro,12/6/97,27,Orthodox,125,65,68,http://www.ufc.com/athlete/Kevin-Borjas,Flyweight,10,3,0,0,Lima,,Peru,Lima,,Peru,https://ufc.com/images/2025-08/BORJAS_KEVIN_08-23.png,,140,1,Boxing
459,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12339,5,Upcoming,Main,2025-08-23T10:00Z,ESPN+,4001,174034,Red,Taiyilake,Nueraji,Super Saiyan,1/12/01,24,Southpaw,170,74,75,http://www.ufc.com/athlete/Taiyilake-Nueraji,Welterweight,11,1,0,1,,Xinjiang,China,Chengdu,Sichuan,China,https://ufc.com/images/2025-08/NUERAJI_TAIYILAKE_08-23.png,,-425,5,Kickboxing
460,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12339,5,Upcoming,Main,2025-08-23T10:00Z,ESPN+,4148,158,Blue,Kiefer,Crosbie,BDK,4/5/90,35,Switch,170,71,70,http://www.ufc.com/athlete/Kiefer-Crosbie,Welterweight,10,5,0,0,Dublin,Leinster,Ireland,Dublin,Leinster,Ireland,https://ufc.com/images/2025-08/CROSBIE_KIEFER_08-23.png,,330,-2,Boxing/MuayThai
461,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12309,6,Upcoming,Prelims1,2025-08-23T07:00Z,ESPN+,3731,165908,Red,,Maheshate,,12/1/99,25,Orthodox,155,72,71.5,http://www.ufc.com/athlete/Hayisaer-Maheshate,Lightweight,10,4,0,0,Yili,Xinjiang,China,,Sichuan,China,https://ufc.com/images/2025-08/MAHESHATE_08-23.png,,110,-1,Kickboxing
462,UFC Fight Night: Walker vs. Zhang,1269,2025-08-23T07:00Z,GMT+08:00,Upcoming,1,Ultimate Fighting Championship,Shanghai Indoor Arena,335,Shanghai,Hebei,China,CHN,12309,6,Upcoming,Prelims1,2025-08-23T07:00Z,ESPN+,4219,159,Blue,Gauge,Young,Gee Money,7/14/00,25,Orthodox,155,69,70,http://www.ufc.com/athlete/Gauge-Young,Lightweight,9,3,0,0,Sedalia,Missouri,USA,Sedalia,Missouri,USA,https://ufc.com/images/2025-08/YOUNG_GAUGE_08-23.png,,-130,-1,MMA
