id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style,TapologyEventURL,TapologyFighterURL,TapologyMatchConfidence
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12623,1,Final,Main,2026-03-21T20:00Z,Paramount+,3266,159972,Red,Movsar,Evloev,,1994-02-11,32,Orthodox,145.0,67.0,72.5,http://www.ufc.com/athlete/Movsar-Evloev,Featherweight,20,0,0,0,,Ingushetia,Russia,Sunzha,Ingushetia,Russia,https://ufc.com/images/2026-03/EVLOEV_MOVSAR_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12623,1,Final,Main,2026-03-21T20:00Z,Paramount+,3424,161659,Blue,Lerone,Murphy,The Miracle,1991-07-22,34,Orthodox,145.0,69.0,73.5,http://www.ufc.com/athlete/Lerone-Murphy,Featherweight,17,1,1,0,Manchester,England,United Kingdom,Manchester,England,United Kingdom,https://ufc.com/images/2026-03/MURPHY_LERONE_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12631,2,Final,Main,2026-03-21T20:00Z,Paramount+,4266,180863,Red,Luke,Riley,,1999-06-30,26,Orthodox,145.0,69.0,69.0,http://www.ufc.com/athlete/Luke-Riley,Featherweight,13,0,0,0,Widnes,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2026-03/RILEY_LUKE_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12631,2,Final,Main,2026-03-21T20:00Z,Paramount+,4226,156588,Blue,Michael,Aswell Jr.,The Texas Kid,2000-09-27,25,Orthodox,145.0,68.0,69.0,http://www.ufc.com/athlete/Michael-Aswell-Jr.,Featherweight,11,4,0,0,Houston,Texas,USA,Houston,Texas,USA,,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12651,3,Final,Main,2026-03-21T20:00Z,Paramount+,2418,132160,Red,Michael,Page,Venom,1987-04-07,38,Switch,170.0,75.0,79.0,http://www.ufc.com/athlete/Michael-Page,Welterweight,25,3,0,0,London,England,United Kingdom,London,England,United Kingdom,https://ufc.com/images/2026-03/PAGE_MICHAEL_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12651,3,Final,Main,2026-03-21T20:00Z,Paramount+,3932,170353,Blue,Sam,Patterson,,1996-04-30,29,Orthodox,170.0,75.0,78.0,http://www.ufc.com/athlete/Sam-Patterson,Welterweight,14,3,1,0,Watford,England,United Kingdom,Walford,England,United Kingdom,https://ufc.com/images/2026-03/PATTERSON_SAM_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12627,4,Final,Main,2026-03-21T20:00Z,Paramount+,4394,187073,Red,Iwo,Baraniewski,Rudy,1998-11-20,27,Orthodox,205.0,72.0,73.5,http://www.ufc.com/athlete/Iwo-Baraniewski,Light Heavyweight,8,0,0,0,Warsaw,,Poland,Warsaw,,Poland,https://ufc.com/images/2026-03/BARANIEWSKI_IWO_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12627,4,Final,Main,2026-03-21T20:00Z,Paramount+,3081,152151,Blue,Austen,Lane,,1987-11-09,38,Orthodox,205.0,78.0,80.0,http://www.ufc.com/athlete/Austen-Lane,Light Heavyweight,13,8,0,1,Iola,Wisconsin,USA,Jacksonville,Florida,USA,https://ufc.com/images/2026-03/LANE_AUSTEN_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12625,5,Final,Main,2026-03-21T20:00Z,Paramount+,3238,158929,Red,Roman,Dolidze,,1988-07-15,37,Orthodox,185.0,74.0,76.0,http://www.ufc.com/athlete/Roman-Dolidze,Middleweight,15,5,0,0,Batumi,Adjara,Georgia,Batumi,Adjara,Georgia,https://ufc.com/images/2026-03/DOLIDZE_ROMAN_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12625,5,Final,Main,2026-03-21T20:00Z,Paramount+,3968,172467,Blue,Christian Leroy,Duncan,CLD,1995-07-24,30,Switch,185.0,74.0,79.0,http://www.ufc.com/athlete/Christian-Leroy-Duncan,Middleweight,14,2,0,0,Gloucester,England,United Kingdom,Gloucester,England,United Kingdom,https://ufc.com/images/2026-03/DUNCAN_CHRISTIAN_LEROY_03-21.png,,,,,,,
