id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style,KO_TKO_Wins,KO_TKO_Losses,Submission_Wins,Submission_Losses,Decision_Wins,Decision_Losses,TapologyEventURL,TapologyFighterURL,TapologyMatchConfidence
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12604,1,Upcoming,Main,2026-03-29T00:00Z,Paramount+,3051,155150,Red,Israel,Adesanya,The Last Stylebender,1989-07-22,36,Switch,185.0,76.0,80.0,http://www.ufc.com/athlete/Israel-Adesanya,Middleweight,24,5,0,0,Lagos,Lagos,Nigeria,Auckland,,New Zealand,https://ufc.com/images/2026-03/ADESANYA_ISRAEL_03-28.png,4,-138,-3,"Kickboxing, Muay Thai, Boxing",16,2,0,1,8,2,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/79163-israel-adesanya,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12604,1,Upcoming,Main,2026-03-29T00:00Z,Paramount+,3505,150804,Blue,Joe,Pyfer,Bodybagz,1996-09-17,29,Orthodox,185.0,74.0,75.0,http://www.ufc.com/athlete/Joe-Pyfer,Middleweight,15,3,0,0,Vineland,New Jersey,USA,Philadelphia,Pennsylvania,USA,https://ufc.com/images/2026-03/PYFER_JOE_03-28.png,14,133,3,Boxing,9,1,4,1,2,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/144942-joseph-pyfer,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12609,2,Upcoming,Main,2026-03-29T00:00Z,Paramount+,2814,140437,Red,Alexa,Grasso,,1993-08-09,32,Orthodox,125.0,65.0,66.0,http://www.ufc.com/athlete/Alexa-Grasso,Women's Flyweight,16,5,1,0,Guadalajara,Jalisco,Mexico,Guadalajara,Jalisco,Mexico,https://ufc.com/images/2026-03/GRASSO_ALEXA_03-28.png,3,163,-2,,4,0,2,1,10,4,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/68972-alexa-grasso,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12609,2,Upcoming,Main,2026-03-29T00:00Z,Paramount+,3114,151641,Blue,Maycee,Barber,The Future,1998-05-18,27,Switch,125.0,65.0,65.0,http://www.ufc.com/athlete/Maycee-Barber,Women's Flyweight,15,2,0,0,Greeley,Colorado,USA,Denver,Colorado,USA,https://ufc.com/images/2026-03/BARBER_MAYCEE_03-28.png,5,-170,7,Striker,6,0,2,0,7,2,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/143925-maycee-barber,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12744,3,Upcoming,Main,2026-03-29T00:00Z,Paramount+,1985,124625,Red,Michael,Chiesa,Maverick,1987-12-07,38,Southpaw,170.0,73.0,75.5,http://www.ufc.com/athlete/Michael-Chiesa,Welterweight,19,7,0,0,Aurora,Colorado,USA,Spokane Valley,Washington,USA,https://ufc.com/images/2026-03/CHIESA_MICHAEL_03-28.png,21,-549,3,BJJ,0,1,12,5,7,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/15253-mike-chiesa-maverick,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12744,3,Upcoming,Main,2026-03-29T00:00Z,Paramount+,2851,126705,Blue,Niko,Price,The Hybrid,1989-09-29,36,Orthodox,170.0,72.0,76.0,http://www.ufc.com/athlete/Niko-Price,Welterweight,16,10,0,2,Cape Coral,Florida,USA,Cape Coral,Florida,USA,https://ufc.com/images/2026-03/PRICE_NIKO_03-28.png,62,600,-3,Striker,10,6,3,2,3,2,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/22461-nico-price,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12646,4,Upcoming,Main,2026-03-29T00:00Z,Paramount+,2728,117688,Red,Julian,Erosa,Juicy J,1989-07-31,36,Southpaw,145.0,73.0,74.5,http://www.ufc.com/athlete/Julian-Erosa,Featherweight,31,13,0,0,Seattle,Washington,USA,Yakima,Washington,USA,https://ufc.com/images/2026-03/EROSA_JULIAN_03-28.png,19,285,-1,,12,7,14,0,5,5,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/18497-julian-erosa,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12646,4,Upcoming,Main,2026-03-29T00:00Z,Paramount+,4418,158306,Blue,Lerryan,Douglas,Gunslinger,1995-04-27,30,Orthodox,145.0,69.0,72.0,http://www.ufc.com/athlete/Lerryan-Douglas,Featherweight,13,5,0,0,Paranagua,Parana,Brazil,Paranagua,Parana,Brazil,https://ufc.com/images/2025-09/DOUGLAS_LERRYAN_09-09.png,,-280,5,,7,2,2,2,3,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/53579-lerryan-douglas,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12644,5,Upcoming,Main,2026-03-29T00:00Z,Paramount+,4201,166556,Red,Mansur,Abdul-Malik,,1997-10-07,28,Orthodox,185.0,74.0,80.0,http://www.ufc.com/athlete/Mansur-Abdul-Malik,Middleweight,9,0,1,0,Pittsburgh,Pennsylvania,USA,Las Vegas,Nevada,USA,https://ufc.com/images/2026-03/ABDUL-MALIK_MANSUR_03-28.png,39,-113,10,Freestyle,7,0,2,0,0,0,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/236993-mansur-abdul-malik,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12644,5,Upcoming,Main,2026-03-29T00:00Z,Paramount+,4112,175517,Blue,Yousri,Belgaroui,,1992-06-02,33,Orthodox,185.0,78.0,79.0,http://www.ufc.com/athlete/Yousri-Belgaroui,Middleweight,9,3,0,0,Amsterdam,Noord-Holland,Netherlands,Amsterdam,Noord-Holland,Netherlands,https://ufc.com/images/2025-10/BELGAROUI_YOUSRI_10-18.png,48,110,4,Kickboxing,7,0,0,0,2,3,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/237485-yousri-belgaroui-baby-face-assassin,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12656,6,Upcoming,Main,2026-03-29T00:00Z,Paramount+,3345,154098,Red,Terrance,McKinney,T. Wrecks,1994-09-15,31,Switch,155.0,70.0,73.5,http://www.ufc.com/athlete/Terrance-McKinney,Lightweight,17,8,0,0,Chicago,Illinois,USA,Spokane,Washington,USA,https://ufc.com/images/2026-03/MCKINNEY_TERRANCE_03-28.png,48,-163,-1,MMA,8,5,9,3,0,0,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/126382-terrance-mckinney,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12656,6,Upcoming,Main,2026-03-29T00:00Z,Paramount+,3228,125753,Blue,Kyle,Nelson,The Monster,1991-04-20,34,Switch,155.0,71.0,71.0,http://www.ufc.com/athlete/Kyle-Nelson,Lightweight,17,6,1,0,Huntsville,Ontario,Canada,Stoney Creek,Ontario,Canada,https://ufc.com/images/2026-03/NELSON_KYLE_03-28.png,41,166,1,Kickboxing,6,3,4,1,7,2,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/21458-kyle-nelson-the-monster,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12713,7,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,3595,146354,Red,Ignacio,Bahamondes,La Jaula,1997-08-27,28,Orthodox,155.0,75.0,75.5,http://www.ufc.com/athlete/Ignacio-Bahamondes,Lightweight,17,6,0,0,Santiago,,Chile,Santiago,,Chile,https://ufc.com/images/2026-03/BAHAMONDES_IGNACIO_03-28.png,18,-273,-1,,11,0,2,2,4,4,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/105800-ignacio-carabantes,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12713,7,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,4404,169915,Blue,Tofiq,Musayev,,1989-12-15,36,Orthodox,155.0,69.0,69.0,http://www.ufc.com/athlete/Tofiq-Musayev,Lightweight,22,6,0,0,Baku,,Azerbaijan,Baku,,Azerbaijan,https://ufc.com/images/2026-03/MUSAYEV_TOFIQ_03-28.png,,270,-1,,18,1,2,4,2,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/60338-tofik-musaev,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12638,8,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,3139,154971,Red,Chase,Hooper,The Dream,1999-09-13,26,Southpaw,155.0,73.0,74.0,http://www.ufc.com/athlete/Chase-Hooper,Lightweight,16,4,1,0,Enumclaw,Washington,USA,Enumclaw,Washington,USA,https://ufc.com/images/2026-03/HOOPER_CHASE_03-28.png,29,-245,-1,BJJ,4,2,8,0,4,2,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/158947-chase-hooper,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12638,8,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,4499,159408,Blue,Lance,Gibson Jr.,Fearless,1995-02-02,31,Switch,155.0,69.0,72.0,http://www.ufc.com/athlete/Lance-Gibson-Jr.,Lightweight,9,2,0,0,Seattle,Washington,USA,Port Moody,British Columbia,Canada,https://ufc.com/images/2025-12/GIBSON_JR_LANCE_12-13.png,,250,-1,MMA,4,1,3,0,2,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/109346-lance-gibson-jr,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12741,9,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,2753,147458,Red,Marcin,Tybura,Tybur,1985-11-09,40,Orthodox,249.0,75.0,78.0,http://www.ufc.com/athlete/Marcin-Tybura,Heavyweight,27,10,0,0,Uniejow,,Poland,Uniejow,,Poland,https://ufc.com/images/2026-03/TYBURA_MARCIN_03-28.png,8,120,-1,MMA,9,6,8,1,10,3,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/34449-marcin-tybura-tybur,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12741,9,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,4504,150766,Blue,Tyrell,Fortune,,1990-07-04,35,Orthodox,259.0,72.0,75.5,http://www.ufc.com/athlete/Tyrell-Fortune,Heavyweight,17,3,0,2,Portland,Oregon,USA,Tempe,Arizona,USA,https://ufc.com/images/2026-03/FORTUNE_TYRELL_03-28.png,,-120,3,,11,1,1,1,4,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/141665-tyrell-fortune,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12645,10,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,3609,164065,Red,Casey,O'Neill,King,1997-10-07,28,Orthodox,125.0,66.0,69.0,http://www.ufc.com/athlete/Casey-ONeill,Women's Flyweight,10,2,0,0,Irvine,Scotland,United Kingdom,Gold Coast,Queensland,Australia,https://ufc.com/images/2026-03/ONEILL_CASEY_03-28.png,12,-100,1,Striker/Grappler,3,0,2,1,5,1,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/74768-casey-oneill,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12645,10,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,3957,165255,Blue,Gabriella,Fernandes,Gabi,1993-08-13,32,Southpaw,125.0,66.0,66.0,http://www.ufc.com/athlete/Gabriella-Fernandes,Women's Flyweight,11,3,0,0,Sao Goncalo,Rio de Janeiro,Brazil,Natal,Rio Grande do Norte,Brazil,https://ufc.com/images/2026-03/FERNANDES_GABRIELLA_03-28.png,14,100,3,,2,0,4,0,5,3,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/193148-gabriela-fernandes-gaby,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12641,11,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,4252,181530,Red,Navajo,Stirling,,1997-11-07,28,Orthodox,205.0,76.0,79.0,http://www.ufc.com/athlete/Navajo-Stirling,Light Heavyweight,8,0,0,0,Upper Hutt,,New Zealand,Auckland,,New Zealand,https://ufc.com/images/2026-03/STIRLING_NAVAJO_03-28.png,24,-525,8,Kickboxing,4,0,0,0,4,0,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/259609-navajo-sterling,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12641,11,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,4034,170118,Blue,Bruno,Lopes,The Brazilian Cowboy,1993-04-24,32,Orthodox,205.0,74.0,74.5,http://www.ufc.com/athlete/Bruno-Lopes,Light Heavyweight,14,2,0,0,Sao Paulo,Sao Paulo,Brazil,Cotia,Sao Paulo,Brazil,https://ufc.com/images/2026-03/LOPES_BRUNO_03-28.png,37,500,-1,,6,2,5,0,3,0,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/78682-bruno-lopes,manual+event-page-exact
,UFC Fight Night: Adesanya vs. Pyfer,1302,2026-03-28T21:00Z,GMT-07:00,Upcoming,1,Ultimate Fighting Championship,Climate Pledge Arena,82,Seattle,Washington,USA,USA,12742,12,Upcoming,Prelims1,2026-03-28T21:00Z,Paramount+,2971,129428,Red,Ricky,Simon,,1992-08-31,33,Orthodox,135.0,66.0,69.0,http://www.ufc.com/athlete/Ricky-Simon,Bantamweight,22,7,0,0,Pendleton,Oregon,USA,Vancouver,Washington,USA,https://ufc.com/images/2026-03/SIMON_RICKY_03-28.png,32,-139,-1,Wrestling,7,2,4,1,11,4,https://www.tapology.com/fightcenter/events/136873-ufc-fight-night,https://www.tapology.com/fightcenter/fighters/33229-ricky-simon,manual+event-page-exact
