Event,Location,FightNumber,CardSegment,Corner,FirstName,LastName,Nickname,Age,Stance,Height_in,Reach_in,Weight_lbs,Wins,Losses,Draws,NoContests,FightingOutOf_City,FightingOutOf_Country,Born_City,Born_Country,UFC_Profile,WeightClass,ImageURL
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",1,Main,Red,Josh,Emmett,CC0,40,Orthodox,66.0,70.0,145.0,19,4,0,0,Sacramento,USA,Phoenix,USA,http://www.ufc.com/athlete/Josh-Emmett,Featherweight,https://ufc.com/images/2025-04/EMMETT_JOSH_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",1,Main,Blue,Lerone,Murphy,The Miracle,33,Orthodox,69.0,73.5,145.0,15,0,1,0,Manchester,United Kingdom,Manchester,United Kingdom,http://www.ufc.com/athlete/Lerone-Murphy,Featherweight,https://ufc.com/images/2025-04/MURPHY_LERONE_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",2,Main,Red,Pat,Sabatini,,34,Orthodox,68.0,70.0,145.0,19,5,0,0,Philadelphia,USA,Bristol,USA,http://www.ufc.com/athlete/Pat-Sabatini,Featherweight,https://ufc.com/images/2025-04/SABATINI_PAT_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",2,Main,Blue,Joanderson,Brito,Tubarao,30,Orthodox,68.0,72.0,145.0,17,4,1,0,Bauru,Brazil,Santa Helena,Brazil,http://www.ufc.com/athlete/Joanderson-Brito,Featherweight,https://ufc.com/images/2025-04/BRITO_JOANDERSON_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",3,Main,Red,Cortavious,Romious,,31,Southpaw,64.0,68.0,135.0,9,3,0,0,St. Louis,USA,St. Louis,USA,http://www.ufc.com/athlete/Cortavious-Romious,Bantamweight,https://ufc.com/images/2025-04/ROMIOUS_CORTAVIOUS_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",3,Main,Blue,ChangHo,Lee,,30,Orthodox,68.0,69.0,135.0,10,1,0,0,Goyang,South Korea,Seoul,South Korea,http://www.ufc.com/athlete/Chang-Ho-Lee,Bantamweight,https://ufc.com/images/2025-04/LEE_CHANGHO_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",4,Main,Red,Brad,Tavares,,37,Orthodox,73.0,74.0,185.0,20,11,0,0,Kailua,USA,Kailua,USA,http://www.ufc.com/athlete/Brad-Tavares,Middleweight,https://ufc.com/images/2025-04/TAVARES_BRAD_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",4,Main,Blue,Gerald,Meerschaert,GM3,37,Southpaw,73.0,77.5,185.0,37,18,0,0,Milwaukee,USA,Racine,USA,http://www.ufc.com/athlete/Gerald-Meerschaert,Middleweight,https://ufc.com/images/2025-04/MEERSCHAERT_GERALD_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",5,Main,Red,Ode,Osbourne,The Jamaican Sensation,33,Southpaw,67.0,73.0,125.0,12,8,0,1,Milwaukee,USA,Kingston,Jamaica,http://www.ufc.com/athlete/Ode-Osbourne,Flyweight,https://ufc.com/images/2025-04/OSBOURNE_ODE_04-05.png
UFC Fight Night: Emmett vs. Murphy,"UFC Apex, Las Vegas",5,Main,Blue,Luis,Gurule,Grim,31,Orthodox,65.0,64.0,125.0,10,0,0,0,Sheridan,USA,Denver,USA,http://www.ufc.com/athlete/Luis-Gurule,Flyweight,https://ufc.com/images/2025-04/GURULE_LUIS_04-05.png
